"workflow","state","path","status","conclusion","headSha","onHead","createdAt"
"P3 Safe-Mode CI Gate","active",".github/workflows/p3-safemode-gate.yml","completed","success","b5770842548c8c987db3fce45e6674aa20912777","True","2025-12-24T10:15:45Z"
"Policy Gate (v4 Core AI)","active",".github/workflows/policy_gate.yml",,,,"False",
"PR Checks (meta)","active",".github/workflows/pr-checks.yml","completed","failure","356e923f762ce313b173da11c1373aa9ae141786","False","2025-11-23T02:06:38Z"
"rgpt-ci-with-ledger","active",".github/workflows/rgpt-ci-with-ledger.yml",,,,"False",
"RocketGPT Review Pipeline","active",".github/workflows/review.yml","completed","failure","9eb6b741f2608d9280723ed7777e18b5bbb14062","False","2025-12-20T10:51:46Z"
"RocketGPT Ship Issue","active",".github/workflows/ship-issue.yml","completed","failure","70ec60c9e799ea0af2b753f0ad2e4a8cfd2d6d87","False","2025-11-05T04:22:18Z"
"Self Infra Evolve (Analysis Only)","active",".github/workflows/self_infra_evolve.yml","completed","success","86fd3c72ab23815da77d2b287cba97895516dacc","False","2025-12-22T03:37:03Z"
"Self Innovate (Idea-Only)","active",".github/workflows/self_innovate.yml",,,,"False",
"Self Reasoning (Plans Only)","active",".github/workflows/self_reasoning.yml",,,,"False",
"Self Research (Log Only)","active",".github/workflows/self_research.yml",,,,"False",
"Self Study (Analysis Only)","active",".github/workflows/self_study.yml","completed","success","055787dc2b6402f49ec01be3e74f18085f59874a","False","2025-12-24T02:40:20Z"
"Self-Heal (v4 Core AI)","active",".github/workflows/self_heal.yml","completed","skipped","b5770842548c8c987db3fce45e6674aa20912777","True","2025-12-24T10:17:11Z"
"Self-Heal Hooks","active",".github/workflows/self_heal_hooks.yml","completed","success","9bf9b35711f9753ec673dcd5b06e247a3b043381","False","2025-12-24T01:13:52Z"
"Self-Improve (v4 Core AI)","active",".github/workflows/self_improve.yml","completed","success","c592fd0d41f1f8fcb12c6a7a475d27a3c179bddf","False","2025-12-23T18:06:54Z"
"self-redevelopment","active",".github/workflows/self-redev.yml","completed","success","055787dc2b6402f49ec01be3e74f18085f59874a","False","2025-12-24T02:38:45Z"
"Sync Labels","active",".github/workflows/labels.yml",,,,"False",
"text-guard (smoke)","active",".github/workflows/text-guard.yml","completed","success","d4c451c949461ae4ab26bf1b0ba660b887b83d7a","False","2025-11-13T08:33:06Z"
"Triage Spec","active",".github/workflows/triage.yml","completed","success","70ec60c9e799ea0af2b753f0ad2e4a8cfd2d6d87","False","2025-11-05T04:13:11Z"
"UI Healer (v3_full)","active",".github/workflows/ui-healer.yml",,,,"False",
"unit-tests","active",".github/workflows/unit-tests.yml",,,,"False",
"v4 Ship (placeholder)","active",".github/workflows/v4_ship_placeholder.yml",,,,"False",
"Vercel Throttled Deploy","active",".github/workflows/vercel-throttled-deploy.yml","completed","success","b5770842548c8c987db3fce45e6674aa20912777","True","2025-12-24T10:15:45Z"
"Watchdog","active",".github/workflows/watchdog.yml",,,,"False",
